,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,19.98,33796.16497070349,33796.295000000035,0,3.847442346746192,0.0
1,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,19.98,34242.10264505703,34241.833000000035,1,7.874726127917434,27.12248915155681
2,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,19.98,35172.09918821478,35132.909000000036,2,1115.4837253796165,0.0
3,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,19.98,36459.00518990549,36469.52300000004,3,288.3999907141262,0.0
4,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,19.98,38278.68662190994,38251.67500000004,4,706.1552705835746,0.0
5,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,77.0,33795.89589098407,33796.295000000035,0,11.809253527985382,0.0
6,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,77.0,34241.950184634356,34241.833000000035,1,3.422265225125004,79.28756629484374
7,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,77.0,35242.923862728894,35132.909000000036,2,3131.3906494010507,0.0
8,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,77.0,36344.616792918096,36469.52300000004,3,3424.947649629026,0.0
9,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,77.0,38350.353037265624,38251.67500000004,4,2579.705000253839,0.0
10,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,196.99,33796.08719137102,33796.295000000035,0,6.1488582997933845,0.0
11,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,196.99,34242.258837107176,34241.833000000035,1,12.436165643964733,99.11212011246994
12,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,196.99,34990.03927671257,35132.909000000036,2,4066.5497778014646,0.0
13,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,196.99,36326.533574603774,36469.52300000004,3,3920.7923118781346,0.0
14,30_LON-WEI-adc59df6-23,LON-WEI-adc59df6-23,196.99,38457.37691223354,38251.67500000004,4,5377.592281475358,0.0
